emp_no,birth_date,first_name,last_name,gender,hire_date
10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08
10127,1952-02-24,Subir,Baja,F,1989-01-14
10128,1958-02-15,Babette,Lamba,F,1988-06-06
10129,1955-12-02,Armond,Peir,M,1985-12-10
10130,1955-04-27,Nishit,Casperson,M,1988-06-21
10131,1952-02-19,Magdalena,Eldridge,M,1994-11-17
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30
10134,1953-04-15,Diederik,Siprelle,M,1987-12-12
10135,1956-12-23,Nathan,Monkewich,M,1988-02-19
10137,1959-07-30,Maren,Hutton,M,1985-02-18
10138,1955-04-24,Perry,Shimshoni,M,1986-09-18
10140,1957-03-11,Yucel,Auria,F,1991-03-14
10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28
10144,1959-06-17,Marla,Brendel,M,1985-10-14
10145,1956-03-30,Akemi,Esposito,F,1987-08-01
10146,1959-01-12,Chenyi,Syang,M,1988-06-28
10148,1957-10-04,Douadi,Azumi,M,1995-10-10
10149,1953-05-20,Xiadong,Perry,F,1986-11-05
10150,1955-01-29,Zhenbing,Perng,F,1986-11-16
10151,1959-03-06,Itzchak,Lichtner,M,1990-04-10
10152,1954-12-01,Jaques,Munro,F,1986-01-27
10153,1955-12-15,Heekeun,Majewski,M,1987-04-08
10154,1957-01-17,Abdulah,Thibadeau,F,1990-12-12
10155,1959-12-07,Adas,Nastansky,M,1990-01-05
10157,1954-04-23,Nigel,Aloisi,M,1985-11-02
10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29
10159,1955-03-03,Serif,Buescher,M,1991-05-29
10160,1953-10-18,Debatosh,Khasidashvili,M,1989-01-30
10161,1953-04-06,Hairong,Mellouli,F,1988-04-03
10162,1957-10-05,Florina,Eugenio,M,1991-05-01
10163,1952-09-17,Karsten,Szmurlo,M,1989-07-19
10164,1956-01-19,Jagoda,Braunmuhl,M,1985-11-12
10166,1953-05-10,Samphel,Siegrist,F,1993-01-01
10167,1958-05-23,Duangkaew,Rassart,M,1992-04-04
10171,1957-09-11,Herbert,Trachtenberg,M,1989-07-22
10172,1957-03-25,Shigeu,Matzen,F,1995-10-13
10174,1959-05-15,Badri,Furudate,M,1987-06-01
10176,1957-01-24,Brendon,Lenart,F,1994-12-22
10177,1954-11-08,Pragnesh,Iisaka,M,1993-02-06
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25
10183,1954-10-17,Mechthild,Bonifati,M,1996-08-11
10184,1957-05-22,Mihalis,Lowrie,M,1987-10-29
10185,1959-12-05,Duro,Sidhu,F,1986-03-01
10186,1953-07-16,Shigehito,Kropatsch,M,1986-03-28
10188,1956-07-13,Christ,Muchinsky,F,1987-08-27
10189,1955-11-12,Khalid,Erva,M,1989-10-05
10191,1959-04-08,Zdislav,Nastansky,M,1986-04-10
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15
10196,1954-01-27,Marc,Hellwagner,M,1994-11-16
10198,1953-05-28,Pranav,Furedi,M,1985-08-31
10199,1959-04-07,Kazuhisa,Ranta,M,1997-04-29
10201,1956-12-15,Idoia,Kavraki,F,1986-11-22
10202,1956-01-05,Greger,Lichtner,M,1991-10-06
10203,1955-07-27,Steen,Escriba,M,1989-04-06
10204,1956-12-09,Nevio,Ritcey,F,1986-12-04
10205,1953-05-20,Mabhin,Leijenhorst,F,1993-08-23
10207,1955-05-28,Girolamo,Anandan,F,1992-10-11
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23
10210,1958-01-24,Yuping,Alpin,M,1994-05-10
10212,1959-05-09,Divier,Esteva,M,1990-07-11
10215,1954-04-02,Xiaobin,Duclos,M,1987-10-19
10216,1958-07-16,Amstein,Ghemri,M,1987-10-30
10217,1954-07-07,Yongmin,Roison,F,1986-05-12
10218,1958-12-07,Zhenhua,Magalhaes,M,1997-01-15
10219,1952-05-02,Genta,Kolvik,M,1993-03-31
10220,1958-05-25,Kish,Fasbender,F,1992-06-25
10221,1957-01-03,Yucai,Granlund,M,1988-06-08
10224,1954-05-17,Leon,Trogemann,M,1988-01-09
10225,1957-02-13,Kellie,Chinen,F,1986-06-19
10227,1957-07-04,Anneli,Kaiser,M,1994-04-24
10228,1953-04-21,Karoline,Cesareni,F,1991-08-26
10229,1952-02-10,Ulises,Takanami,M,1987-11-22
10230,1955-09-11,Clyde,Vernadat,M,1996-06-16
10232,1956-03-11,Marko,Auria,F,1992-06-04
10233,1954-04-01,Lein,Vendrig,F,1985-07-05
10235,1958-03-27,Susanta,Roccetti,F,1995-04-06
10237,1952-09-22,Yannis,Mandell,F,1989-08-11
10239,1955-03-31,Nikolaos,Llado,F,1995-05-08
10240,1952-04-01,Remko,Maccarone,M,1998-10-06
10241,1958-07-01,Ortrud,Murillo,M,1988-06-12
10248,1955-09-24,Frederique,Tempesti,F,1991-08-13
10249,1954-06-10,Marie,Boreale,M,1991-12-08
10250,1958-08-12,Serap,Etalle,M,1992-08-30
10251,1957-04-25,Alair,Rosenbaum,M,1992-06-25
10254,1959-12-07,Shen,Brattka,M,1990-06-14
10257,1957-09-12,Aiman,Riexinger,M,1986-08-05
10258,1955-12-12,Basil,Ishibashi,F,1985-05-17
10261,1959-12-25,Mang,Erie,M,1993-10-20
10262,1955-08-04,Mahendra,Maraist,F,1992-07-27
10264,1958-09-08,Nalini,Kawashimo,F,1997-07-16
10266,1958-02-24,Sukumar,Rassart,M,1990-05-25
10267,1956-01-16,Shaunak,Cullers,M,1996-12-11
10268,1958-06-03,Nishit,Siochi,M,1986-12-17
10269,1959-10-07,Taizo,Oxman,F,1988-07-24
10272,1954-11-30,Yishai,Cannane,M,1988-05-23
10274,1957-08-23,Dmitri,Pearson,F,1991-04-21
10278,1955-03-09,Lubomir,Nitsch,M,1991-05-17
10281,1953-05-13,Moty,Kusakari,M,1994-12-03
10282,1953-11-27,Hercules,Benzmuller,M,1986-06-04
10283,1953-07-08,Kauko,Birjandi,M,1988-05-25
10284,1954-04-08,Masali,Murrill,F,1997-07-02
10285,1956-09-21,Zhonghui,Preusig,F,1995-02-27
10286,1952-05-14,Saddek,Gopalakrishnan,F,1988-03-21
10288,1959-06-02,Selwyn,Perri,M,1994-08-29
10289,1956-11-30,Shay,Poulakidas,M,1990-06-06
10290,1957-05-29,Yongmao,Pleszkun,M,1991-09-18
10293,1956-11-24,Mihalis,Avouris,F,1992-12-12
10294,1955-01-05,Rutger,Miara,M,1996-04-08
10295,1953-01-13,Kristine,Velardi,M,1990-08-27
10297,1956-06-17,Narain,Oaver,F,1986-05-28
10298,1954-07-06,Dietrich,DuCasse,F,1999-03-30
10302,1954-10-11,Faiza,Baer,F,1986-07-22
10304,1956-03-07,Bernt,Erie,M,1992-11-16
10305,1952-06-30,Hirochika,Piancastelli,M,1988-10-31
10306,1953-06-02,Heng,Kilgour,M,1993-09-06
10307,1955-07-20,Nikolaos,Leaver,M,1991-04-10
10311,1958-11-24,Hsiangchu,Molenkamp,F,1991-04-01
10312,1957-06-18,Rasiah,Deyuan,F,1986-08-28
10315,1956-08-03,Maris,Angelopoulos,M,1987-08-28
10316,1958-06-20,Christoper,Schwaller,M,1987-09-04
10317,1957-12-25,Arie,Birge,M,1986-12-10
10318,1958-08-27,Mototsugu,Beilner,F,1985-06-29
10320,1956-06-22,Uinam,Stasinski,F,1988-11-03
10321,1955-12-12,Guenter,Ravishankar,M,1991-09-24
10322,1954-05-28,Isamu,Dahlbom,F,1990-01-29
10323,1958-06-20,Kankanahalli,Hinsberger,M,1991-06-06
10324,1957-12-29,Bernardo,Rouquie,F,1988-03-19
10325,1953-01-12,Arunachalam,Badr,M,1990-09-20
10326,1953-02-13,Masali,Czap,F,1985-05-13
10327,1954-04-01,Roded,Facello,M,1987-09-18
10328,1955-06-28,Serenella,Kawashima,M,1994-01-16
10329,1958-04-28,Remko,Shigei,F,1986-01-20
10330,1957-02-02,Kasturi,Bellmore,M,1985-06-12
10333,1953-04-27,Snehasis,Dymetman,M,1993-01-16
10334,1958-04-02,Falguni,Erie,M,1996-12-28
10337,1957-12-10,Jeong,Sadowsky,M,1995-08-06
10339,1957-08-27,Teunis,Liedekerke,M,1989-11-30
10340,1952-08-20,Djelloul,Laventhal,M,1987-06-05
10343,1954-11-01,Dinah,Syrzycki,M,1993-10-14
10344,1957-07-24,Uwe,Garnier,F,1994-06-25
10347,1953-10-03,Pradeep,Kaminger,M,1985-12-12
10348,1956-03-11,Mahendra,Picco,F,1995-10-22
10349,1954-04-29,Oksana,Brodie,F,1991-09-28
10350,1954-11-14,Kristen,Kavvadias,F,1990-08-19
10353,1953-01-15,Phule,Hammerschmidt,M,1989-08-24
10355,1952-12-10,Satyanarayana,Cochrane,M,1987-11-15
10356,1952-08-12,Vasilis,Standera,M,1988-08-06
10358,1953-04-08,Qunsheng,Tagansky,M,1991-02-19
10363,1953-11-28,Toshiki,Muniz,F,1985-09-11
10364,1954-09-21,Nakhoon,Dengi,M,1985-11-14
10365,1958-04-28,Rosine,Granlund,F,1987-06-02
10367,1955-12-24,Hyuckchul,Gini,M,1991-06-24
10368,1956-03-25,Hatim,Koshiba,M,1991-04-05
10369,1957-01-08,Qunsheng,Toyoshima,M,1986-05-17
10370,1957-08-03,Clyde,Fandrianto,M,1992-04-04
10371,1959-02-10,Ioana,Kirkerud,M,1989-11-28
10372,1952-04-08,Anneli,Frijda,F,1985-07-30
10373,1959-01-08,Hongzue,Heijenga,M,1997-04-26
10374,1955-10-08,Willard,Rosin,F,1993-12-08
10375,1957-10-09,Dante,Kalafatis,F,1994-05-29
10376,1959-02-12,Fai,Bale,M,1989-01-14
10377,1954-08-19,Marl,Grospietsch,M,1990-05-07
10379,1957-03-02,Mikhail,Rosis,M,1996-07-15
10380,1956-05-25,Alejandro,Kamble,F,1985-03-19
10382,1955-06-12,Shirish,Dredge,M,1990-07-04
10384,1956-08-22,Feiyu,Luft,M,1986-01-16
10386,1956-11-09,Eishiro,Miyakawa,F,1985-08-02
10387,1952-11-03,Parto,Wrigley,F,1987-02-19
10388,1953-03-29,Hironoby,Kaiser,M,1996-03-24
10389,1953-03-24,Make,Peir,M,1995-10-31
10391,1956-06-13,Hongzue,Akaboshi,M,1989-12-24
10393,1958-03-24,Yagil,DasSarma,M,1989-06-23
10394,1957-05-22,Shawna,Meriste,M,1991-03-14
10395,1952-02-17,Takahiro,Deverell,M,1987-02-04
10396,1955-08-21,Sibyl,Rahier,M,1986-01-11
10397,1955-11-11,Irena,Reutenauer,M,1993-05-21
10398,1958-07-16,Shooichi,Escriba,F,1990-10-12
10399,1957-06-13,Guenter,Marchegay,F,1985-05-07
10402,1953-07-23,Volkmar,Ebeling,M,1987-01-02
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13
10404,1955-04-27,Prodip,Rosti,F,1988-08-28
10405,1957-01-20,Hilary,Budinsky,F,1985-11-04
10406,1956-09-21,Sigeru,Wynblatt,F,1987-03-11
10407,1955-07-05,Ulf,Siepmann,M,1990-03-08
10409,1958-08-28,Mario,Straney,M,1997-07-09
10411,1956-07-10,Lidong,Klerer,F,1989-09-02
10412,1958-02-26,Masoud,Fabrizio,F,1986-05-06
10413,1952-05-05,Danel,Impagliazzo,F,1990-03-26
10414,1954-04-09,Yinlin,Alpin,M,1990-05-30
10415,1957-11-12,Mark,Coorg,M,1993-10-25
10416,1956-05-26,Uli,Keustermans,M,1989-03-24
10418,1952-06-29,Candida,Porotnikoff,F,1989-04-20
10421,1959-03-22,Divine,Marzano,M,1989-09-12
10422,1954-06-02,Greger,Rubsam,F,1990-12-07
10423,1956-01-10,Dante,Cronin,F,1998-09-06
10424,1959-08-17,Babette,Straney,M,1989-08-07
10426,1955-12-28,Arunas,Luce,F,1985-07-06
10427,1958-08-13,Khosrow,Sudbeck,F,1991-11-01
10428,1957-06-25,Cathie,Brlek,M,1992-06-04
10429,1952-02-13,Martien,Improta,F,1986-03-09
10430,1958-06-30,Ferdinand,Chenney,M,1990-11-16
10432,1953-11-06,Hisao,Tiemann,F,1985-04-30
10433,1954-09-02,Reuven,Dengi,M,1989-02-14
10434,1959-07-17,Dzung,Peltason,F,1995-06-27
10435,1957-10-12,Marsha,Tagansky,M,1986-12-19
10437,1956-07-07,Narain,Reeker,F,1996-04-12
10439,1958-04-09,Jolita,Jarecki,M,1990-01-11
10440,1959-04-10,Akeel,Narahara,F,1994-03-31
10441,1958-04-27,Adel,Perfilyeva,M,1988-07-12
10442,1955-09-09,Volkmar,Unno,M,1988-03-13
10443,1952-12-03,Shichao,Litvinov,F,1989-08-01
10444,1956-07-29,Kazuhira,Rosis,M,1993-03-31
10445,1957-01-10,Junichi,Kavanagh,F,1987-11-04
10449,1959-09-28,Aleksandar,Sudkamp,M,1987-03-28
10450,1959-11-05,Khun,Harbusch,M,1990-01-17
10451,1952-10-06,Bodh,Ranta,F,1988-03-12
10452,1956-11-24,Werner,Hasham,M,1988-09-05
10453,1953-07-19,Tsvetan,Matzel,F,1985-04-02
10459,1959-09-30,Ennio,Trogemann,M,1997-06-28
10461,1956-10-26,Gal,Karcich,M,1987-08-03
10462,1956-04-08,Sumali,Schlenzig,M,1996-03-25
10463,1954-05-20,Ung,Zaiane,M,1987-12-25
10466,1954-12-25,Jiakeng,Himler,M,1985-09-29
10467,1956-01-30,Dipayan,Suomi,F,1988-07-14
10470,1956-04-12,Peternela,Iwayama,M,1988-06-01
10472,1959-08-20,Salvador,Lodder,M,1996-07-29
10475,1956-12-19,Mario,Rodite,M,1987-01-19
10477,1952-12-07,Guoxiang,Trogemann,F,1989-03-04
10478,1957-03-08,Maik,Ushiama,M,1992-06-09
10479,1959-01-27,Duro,Coney,F,1987-02-28
10481,1959-10-18,Yongmao,Pintelas,F,1988-10-06
10483,1957-03-13,Zhiwei,Anick,M,1992-11-08
10486,1952-08-24,Amstein,Kossowski,F,1987-10-08
10487,1956-08-23,Perla,Middleton,F,1992-08-14
10488,1959-10-17,Mihalis,Heering,M,1994-06-09
10489,1958-08-24,Elvia,Homond,M,1989-09-10
10492,1957-04-03,Lobel,Kumaresan,M,1988-04-24
10494,1953-12-21,Yakkov,Servieres,F,1986-01-18
10496,1959-04-18,Gretta,Baig,M,1987-02-26
10497,1953-06-09,Pramod,Rabehasaina,M,1992-01-22
10499,1953-10-04,Maik,Luft,F,1989-11-23
10500,1957-04-29,Vojin,Narwekar,M,1996-12-16
10502,1957-10-07,Yonghoan,Marshall,M,1993-03-04
10503,1952-05-17,Dannz,Pell,M,1991-04-30
10504,1953-04-07,Xiong,Varker,M,1988-12-03
10506,1958-10-06,Kazuhisa,Kroll,F,1996-12-01
10509,1953-10-03,Abdelwaheb,Riesenhuber,F,1990-02-23
10512,1955-11-16,Udi,Gihr,M,1986-01-12
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02
10517,1953-06-18,Tiina,Speek,M,1990-12-25
10519,1955-12-28,Yonghoan,Alencar,F,1986-03-22
10521,1957-07-31,Kwangsub,Setia,M,1989-05-11
10522,1955-07-24,Marke,Cesareni,F,1986-12-12
10523,1956-05-16,Malu,Skafidas,M,1988-12-28
10524,1959-05-02,Shigehiro,Cincotta,F,1985-10-09
10529,1952-11-21,Ymte,Yetto,M,1992-01-05
10530,1956-07-19,Boriana,Coors,F,1987-09-23
10531,1954-06-11,Oguz,Gimbel,F,1991-02-20
10532,1959-08-31,Mary,Wossner,F,1986-05-18
10538,1955-08-18,Przemyslawa,Falby,M,1987-07-23
10539,1959-05-13,Yucel,Reinhard,M,1990-06-05
10541,1955-11-05,Godehard,Eiter,M,1986-02-28
10542,1955-01-05,Yannis,Couchot,F,1989-03-28
10546,1957-12-20,Nechama,Schapiro,M,1987-09-06
10548,1952-06-12,Ramalingam,Gunderson,M,1986-05-04
10549,1957-03-20,Beshir,Kisuki,M,1995-10-26
10550,1959-08-03,Manton,Leuchs,M,1985-02-03
10552,1953-03-25,Kazuhito,Shiratori,M,1998-08-18
10554,1958-08-01,Dines,Gerlach,M,1990-11-28
10557,1957-08-23,Sashi,Karlin,M,1986-03-31
10559,1956-01-18,Arumugam,Comellas,F,1988-01-06
10561,1958-09-07,Serge,Joslin,F,1990-12-15
10563,1956-10-27,Mohit,Spelt,M,1992-09-29
10564,1955-04-14,Jianhao,Thisen,M,1986-05-08
10566,1958-01-30,Jianhui,Zuberek,F,1988-03-19
10567,1957-05-21,Dietrich,Journel,M,1992-10-18
10568,1953-12-02,Gao,Poulakidas,F,1989-02-14
10570,1958-10-30,Alassane,Morrin,M,1985-05-05
10575,1954-06-29,Theirry,Yeung,M,1988-10-04
10576,1957-08-23,Xiaoqiu,Krychniak,M,1988-05-17
10577,1957-09-20,Ennio,Schmiedel,M,1990-08-18
10578,1958-07-18,Shigeaki,Shanbhogue,F,1989-11-24
10579,1958-07-17,Aiman,Stentiford,M,1985-09-01
10580,1956-05-28,Christoper,Rehfuss,M,1987-09-11
10581,1956-11-20,Odinaldo,Prochazka,F,1988-02-09
10586,1954-06-23,Kirk,Vuskovic,M,1992-02-04
10588,1956-07-30,Shigeo,Dulay,F,1987-01-28
10589,1958-09-25,Subbu,Sanella,M,1994-01-26
10591,1952-12-22,Hidde,Hettesheimer,F,1987-06-18
10593,1952-07-24,Falguni,Kenevan,M,1990-09-12
10596,1954-01-24,Sanjit,Coors,M,1995-04-01
10598,1957-11-10,Margo,Gronowski,M,1989-03-31
10599,1956-10-15,Seshu,Crelier,F,1989-03-17
10601,1959-10-23,Barton,Usdin,M,1994-08-29
10602,1959-11-27,Douadi,Wossner,M,1988-03-12
10603,1955-08-02,Wayne,Restivo,M,1995-07-20
10604,1957-04-24,Susanna,Brizzi,M,1990-04-07
10605,1956-05-21,Moti,Wixon,F,1985-04-29
10608,1955-07-11,Adhemar,Talmor,F,1986-05-25
10609,1956-10-02,Janche,Zhang,M,1994-12-03
10610,1955-06-24,Irena,Roccetti,F,1996-04-11
10612,1959-01-01,Gil,Peroz,M,1991-09-02
10614,1953-07-11,Gila,Ozeri,F,1990-03-03
10615,1955-08-30,Keung,Delgrande,M,1996-03-10
10616,1958-05-05,Tommaso,Marwedel,F,1988-03-10
10617,1955-01-26,Hidekazu,Angel,F,1985-03-29
10620,1959-11-23,Marit,Veeraraghavan,M,1990-11-10
10622,1959-09-15,Turgut,Narlikar,M,1989-01-28
10623,1953-07-11,Aleksander,Danlos,F,1987-03-07
10624,1955-12-19,Sham,Gyorkos,F,1990-05-07
10625,1958-02-08,Leszek,Petereit,F,1985-10-31
10626,1957-06-26,Danil,Deverell,M,1996-12-03
10628,1954-04-18,Krisda,Krogh,M,1985-09-11
10629,1954-03-23,Lalit,Francisci,F,1986-01-30
10630,1954-08-10,Bezalel,Katzenelson,F,1993-06-26
10631,1955-05-17,Inderjeet,Chaudhuri,M,1988-02-16
10633,1957-02-09,Sorina,Herber,M,1985-06-17
10634,1954-08-01,Nahid,Chepyzhov,M,1990-11-11
10636,1955-08-25,Saeko,Porotnikoff,F,1994-11-16
10637,1954-07-11,Heejo,Frolund,M,1993-07-11
10639,1953-04-18,Pramod,Erol,M,1992-10-25
10640,1958-11-09,Anneke,Meszaros,M,1992-12-04
10641,1953-12-24,Guozhong,Zucker,M,1993-03-21
10642,1955-12-19,Hirochika,Narlikar,M,1986-08-06
10643,1957-07-25,Slavian,Keirsey,M,1987-11-11
10645,1957-03-01,Fumiyo,Esposito,M,1988-03-01
10646,1957-11-24,Uri,Chorvat,M,1988-08-07
10649,1956-03-25,Vitali,Welham,M,1997-09-10
10650,1959-04-09,Hongzhu,Chepyzhov,M,1992-10-04
10651,1958-12-31,Zijian,Maginnis,M,1985-08-07
10653,1953-06-16,Otmar,Feinberg,M,1987-04-30
10655,1959-02-02,Remko,Dalton,F,1985-07-14
10657,1958-03-09,Juichirou,Kitsuregawa,M,1989-12-31
10658,1956-11-21,Junsik,Rijckaert,F,1994-04-29
10659,1956-12-09,Dinah,Shackel,F,1991-09-20
10661,1956-04-07,Ottavia,Giarratana,F,1988-01-12
10662,1959-10-17,Arto,Serra,F,1986-09-28
10667,1955-08-05,Makato,Cusworth,F,1990-06-25
10668,1959-03-20,Maren,Granlund,F,1989-09-25
10669,1956-05-30,Yurij,Iisaka,F,1995-06-09
10671,1953-06-12,Parviz,Rebaine,M,1987-01-08
10672,1954-03-23,Bluma,Zeilberger,M,1986-07-13
10673,1959-12-26,Hyuckchul,Casperson,M,1990-03-01
10676,1953-08-26,Valeri,Danley,F,1986-03-20
10678,1958-08-21,Chriss,Gide,F,1987-08-02
10679,1956-09-25,Neven,Brender,M,1990-05-13
10682,1956-07-04,Bedir,Haumacher,M,1990-11-09
10683,1952-06-18,Guiseppe,Stranks,F,1993-09-07
10684,1956-01-23,Aimee,Tokunaga,F,1999-10-28
10685,1959-01-14,Zongyan,Cusworth,M,1990-04-24
10689,1958-09-13,Satoru,Otillio,M,1988-08-05
10691,1957-11-18,Denny,Setia,M,1989-09-17
10693,1953-12-14,Berhard,Daescu,F,1986-01-08
10694,1955-12-16,Rildo,Straney,M,1988-01-26
10696,1952-03-23,Unal,Fendler,M,1991-09-09
10697,1958-04-09,Bluma,Hiltgen,M,1998-03-04
10698,1959-09-13,Barton,Engberts,M,1994-12-08
10702,1952-11-25,Bader,Szemeredi,M,1985-07-23
10703,1958-06-13,Giri,Baumann,F,1996-05-12
10706,1959-10-11,Gonzalo,Eldridge,M,1989-12-17
10707,1957-06-04,Moty,Trystram,M,1990-12-24
10708,1959-07-02,Aral,Erman,M,1996-05-18
10712,1952-04-12,Uma,Koprowski,F,1994-08-18
10713,1959-04-14,Jagoda,Naumovich,M,1986-04-26
10715,1959-11-21,Goa,Poehlman,M,1995-09-25
10717,1956-01-27,Serap,Tasistro,M,1987-06-27
10718,1955-12-19,Adib,Rullman,M,1988-07-21
10719,1959-09-26,Guenter,Karunanithi,F,1995-09-05
10720,1956-06-17,Odinaldo,Kruskal,M,1985-08-01
10724,1957-10-06,Aluzio,Narlikar,M,1991-11-04
10725,1958-10-22,Garnet,Isard,M,1990-09-08
10726,1954-01-11,Zita,Minakawa,F,1985-09-01
10727,1959-06-16,Saeed,Kitai,F,1991-01-08
10728,1958-11-17,Ugo,Maliniak,F,1989-12-09
10731,1952-11-17,Fumitaka,Peak,M,1987-02-20
10734,1954-07-06,Sachar,Erdi,M,1985-04-03
10740,1956-04-19,Suzette,Sadowski,M,1995-08-15
10741,1954-01-02,Sven,Huttel,F,1989-01-06
10742,1955-03-13,Shim,Wiegley,M,1991-01-03
10744,1957-02-17,Yaghout,Syang,M,1985-12-29
10745,1953-10-23,Poorav,Ranze,F,1987-05-26
10746,1958-12-29,Kolar,Usery,F,1990-08-31
10747,1955-02-02,Falguni,Khalid,M,1990-10-08
10749,1955-08-21,King,Brendel,M,1985-09-26
10750,1953-06-14,Roddy,Demeyer,F,1991-08-04
10751,1952-12-02,Jordanka,Ushiama,M,1987-04-15
10753,1958-09-30,Pradeep,Harbusch,F,1985-05-17
10754,1956-09-08,Chenyi,Feinberg,M,1988-01-11
10756,1958-06-24,Paddy,Brizzi,M,1995-11-21
10759,1956-04-12,JiYoung,Chenney,M,1991-12-04
10761,1959-04-10,Sumali,Liedekerke,M,1992-05-30
10764,1953-01-12,Yunming,Beetstra,F,1989-11-27
10767,1954-02-28,Monique,Doering,F,1987-06-17
10768,1955-06-24,Ishfaq,Candan,M,1985-07-04
10770,1956-06-18,Bedir,Perry,F,1987-12-25
